,restoran_name,date,estimation,title,text
10,"Радуга вкуса, Служба доставки еды",27/02/2020 00:43,5,невероятно,очень сильно заметно улучшение в качестве работы компании заказали горячие роллы заказ был готов уже через 15 минут невероятно но это были самые большие и свежие роллы из всех мест где мы пробовали и за самую демократичную цену начинки в особенности сливочного сыра очень много риса мало мы остались полностью довольны обслуживанием обязательно посоветуем друзьям и придём к вам снова
11,"Радуга вкуса, Служба доставки еды",4/08/2020 09:02,5,дешево и вкусно,доставка радуга вкуса уже несколько лет радует вкусными и дешевыми блюдами на этот раз я заказала набор мини за 589 рублей и роллы филадельфия за 209 рублей такого количества роллов с головой хватает на компанию человек заказ пообещали доставить в течение часа ровно через час после звонка подъехал курьер и доставил заказ курьеры кстати всегда доброжелательны запеченные роллы приехали теплыми холодные как и должно быть холодными. достаточное количество соуса васаби и имбиря
12,"Радуга вкуса, Служба доставки еды",1/10/2019 14:25,5,вкусная пицца пепперони,пицца пепперони из ресторана-доставки радуга вкуса блюдо очень понравилось тесто мягкое достаточно нежное. спустя два часа-не затвердело. колбаски нарезаны тонко но их очень много никакого жира нет.острота в меру понравилось даже ребёнку сыр вкусный без горечи а специи приятные и ароматные. коробка плотная и жесткая масло которое выделилось спустя время не пропитало весь картон. готовят быстро доставка в любое время что очень удобно цены-адекватные при оформлении говорят номер заказа но можно назвать последние цифры вашего телефона самовывоз возможен с разных районов города
13,"Радуга вкуса, Служба доставки еды",13/07/2020 14:38,5,прекрасно,доставка очень быстрая менее часа жду еда вкусная упаковка эстетичная заказываю только в аппетит угостил друзей они тоже стали заказывать теперь у вас спасибо за качественное обслуживание вежливые операторы всем доволен советую всем своим знакомым друзьям а также родственникам всегда очень хорошие акции приемлемые цены и добрые курьеры идеальнейшее обслуживание также все хорошо упаковано очень аппетитно выглядит
14,"Радуга вкуса, Служба доставки еды",7/04/2020 17:51,5,супер,очень вкусные роллы по приятной цене заказываем очень часто и безумно довольны обязательно заказывайте не пожалеете один из самых лучших сервисов в г. нижнекамск быстро доставляют роллы не успевают остынуть очень сытные но не сильно калорийные в наборе много имбиря и васаби упаковано все очень хорошо особенно понравился ролл с курицей нежно прожареная курочка и тающий во рту сливочный сыр это просто божественная еда
15,"Радуга вкуса, Служба доставки еды",17/07/2020 17:41,5,вкусно и сытно,раньше постоянно заказывали в радуге вкуса но в какой то момент у них что то пошло не так и мы перестали там заказывать роллы со временем начала слышать положительные отзывы об этой доставке якобы они исправились и сейчас у них улучшилось качество и вкус продукции решила на свой страх и риск попробовать сделать заказ к моему удивлению вкус реально изменился и цены не кусаются что тоже не мало привезли горячи свежим и пиццу вообще смели за в общем могу смело рекомендовать эту
16,"Радуга вкуса, Служба доставки еды",10/04/2020 06:42,5,изумительно,
17,"Радуга вкуса, Служба доставки еды",6/09/2022 12:07,5,очень вкусно и не очень дорого,очень вкусно готовят как и суши так и пиццу и многое другое заказывал раз 100 никогда не подводили радуют скидками и быстрой доставкой в течении часа всем советую заказывайте не пожалеете а ещё много промокодов и подарков которые идут к заказу вы супер развивайтесь и делайте пищу ещё вкуснее в тысячу раз а то и более
18,"Радуга вкуса, Служба доставки еды",27/04/2020 12:20,5,день рождения с радугой вкуса,день рождения с радугой вкуса со скидкой 30 не одно наше день рождения не проходит без вкусной пиццы и роллов от радуга вкуса да и просто заказываем когда хочется поесть вкусной пиццы и роллов всем друзьям и знакомым рекомендуем радуга вкуса здесь быстрая доставка очень много акций и очень при очень вкусно
19,"Радуга вкуса, Служба доставки еды",27/02/2020 23:33,5,супер,заказывали последний раз набор роллов 23 февраля это было очень вкусно роллы большие начинки много выглядят и пахнут очень аппетитно доставили нам еду вовремя кстати заметила что пиццы стали делать намного вкуснее чем раньше и самое главное я всегда могу найти себе недорогой набор роллов или пиццу по очень приятной цене потому что каждый день у радуги вкуса проводятся выгодные акции
20,"Радуга вкуса, Служба доставки еды",31/05/2020 13:39,4,на твёрдую четверку,сегодня очень захотелось полакомиться роллами давно не заказывала выбор пал на радугу вкуса так как бюджет небольшой порадовала тенденция роста ожидала что будет хуже упаковано красиво доставка вовремя-как обещали горячие роллы все ещё горячие заказала спайси соус дополнительно и не прогадала очень вкусный и не острый пришёлся кстати к роллам так как были немного безвкусные и суховатые но не все запечённые самое то роллов средний на вид аккуратные красивые эстетика возбуждает аппетит очень понравилась система онлайн заказа компьютера у меня нет с телефона удобно ничего не вылетает на вкус роллы средние стоимости своей соответствуют вполне съедобно все было спасибо
21,"Радуга вкуса, Служба доставки еды",6/03/2020 20:52,5,очень вкусно,очень вкусные роллы и пицца достаточно долго уже заказываю еду здесь каждые выходные и не разу не пожалел доставка надёжная и быстрая еда приезжает всегда горячей и самое главное вкусной цены низкие и очень много выгодных акций .персонал вежливый и все понятно рассказывают о всех акциях .нравится так же система баллов за которые можно оплатить часть заказа рекомендую
22,"Радуга вкуса, Служба доставки еды",17/01/2021 20:08,5,вкусно,всегда заказываем роллы в радуге вкуса очень удобно делать заказ в приложении тут же перезванивают рассказывают об акциях и отвечают на все интересующие вопросы операторы вежливые курьеры воспитанные все очень вкусно быстро привозят и цены приятные детям конечно же берём картошку фри пицца очень вкусная. а если сделать заказ с самовывозом то делают ещё скидку у них всегда проходят интересные акции вообщем мы очень довольны всем друзьям советуем вас спасибо вам за безупречную работу
23,"Радуга вкуса, Служба доставки еды",26/12/2017 14:42,5,уверенно и нормально,периодически заказываю уже довольно долгое время но отзыв решил написать только сейчас наверное потому что начали привозить заказы намного быстрее по времени чем раньше это типо благодарность очень дешево можно накупить кучу всего за приемлемую цену постоянно появляются новые наборы постоянные акции есть приложение для смартфона жаль только что оно тормозит
24,"Радуга вкуса, Служба доставки еды",10/03/2020 18:59,5,очень вкусно и выгодно,в радуге вкуса заказываем постоянно поскольку это наше любимое кафе цены очень приятные блюда вкусные доставка быстрая. преимущественно заказываем роллы и хочу сказать они действительно годные особенно запеченные. что касется пиццы раньше она была пресной много теста мало ингридиентов на чинке складывалось такое ощущение что лишь тесто и ешь однако вчерашний заказ приятно порадовал три маленьких пиццы на уже тонком тесте очень вкусные. радует что появилось много новых сетов акции не перестают радовать и очень приятно когда за вкусную еду платить нужно меньше. хочется сказать спасибо за прекрасное обслуживание и вкусную еду пицца и роллы на высоте
25,"Радуга вкуса, Служба доставки еды",19/06/2020 16:27,4,выгодные акции на доставку,в почтовом ящике обнаружила листовку на новую акцию в радуге вкуса комбо летнее из порций роллов и мясной пиццы удивила низкая цена за набор всего 380 рублей акция действует только на доставку поэтому в заказ я добавила еще порцию мантов из курицы за 120 руб итого 500 рублей и соответственно бесплатная доставка курьер привез заказ менее чем через час как и оговаривалось оператором при заказе по моей заявке он привез терминал для оплаты мне это важно так как привыкла оплачивать покупки картой к заказу был приложен подарочный купон на скидку в 250 рублей на следующую покупку купон имеет срок действия около недель обязательно им воспользуюсь вся еда была свежая и аппетитно выглядела пицца горячая поели с удовольствием сервис на хорошем уровне оператор очень вежливо принимает заказ приятные бонусы впечатления только положительные
26,Сайт Сервис по доставке еды zakazaka.ru,30/12/2016 21:56,5,ленивая жена горе в семье один из лучших сервисов для заказа еды на дом,всем привет о сервисе zakazaka я узнала не так давно до этого пользовалась приложением dilevery club но внезапно там почти во всех ресторанах исчезла еда за баллы и подруга мне посоветовала скачать заку. так выглядит приложение в appstore о самом сервисе выбор ресторанов в моем городе твери довольно-таки большой но самый любимый это банзай сушиэлит wok'n'roll там самые крутые тёплые роллы таких вкусных нигде не пробовала даже в известных сетях типа нияма и якитория также заказываю в кафе автор кормушке вот фото некоторых моих заказов за что же я так люблю именно заказака всегда есть какие-то акции в основном для заказов от 1000 рублей за каждый заказ начисляются баллы которые можно использовать для заказа халявной еды почти в каждом ресторане имеется меню еды за баллы также баллы начисляются за отзывы на заказы и достижения. почти всегда у меня получается что-то заказать за баллы например пиццу очень даже круто я считаю халява как всегда заманивает вывод zakazaka отличное приложение там всегда есть какие-то бонусы и интересные предложения для заказа дополнение от 1.04.2017 оказывается в деливери можно заказывать гораздо дешевле ухожу к ним
27,Сайт Сервис по доставке еды zakazaka.ru,3/08/2017 15:09,5,zakazaka лучший сервис сравниваем с delivery club,уже наверное мало осталось людей которые хоть раз хотя бы из любопытства не заказали бы готовую еду домой или на работу здесь не стоит рассуждать данафигасамойсготовитьлучше нет люди ходят в кафе рестораны в парках отдыха питаются шаурмой хот-догами и т.д и с доставкой еды так же отдых разнообразие тяга к вредностям предвкушение в ожидании когда вы сами готовите борщ то навряд ли испытываете эмоции в стиле вот скорей бы доготовить наверное вкусняха получится зафоткаю всю кастрюлю что такое zakazaka это приложение которое содержит список ресторанов с меню и информацией о них через это приложение легко сделать заказ и более того есть стимулирующий маркетинг в виде балльной системы и статусной прогрессии наклеечки в приложении за заказы у кого их больше тот круче чем отличаются zakazaka от delivery club у первого приложения список ресторанов больше и соотвественно больше партнеров высылающих еду за баллы. приложение zakazaka позволяет просматривать меню и условия ресторанов даже тех кто уже закрыт delivery не пропускает на сегодняшний день просмотреть меню закрытых кафе это плохо тем что ночью вы не сможете составить план заказа на утро допустим. поисковая система интерфейс у лучше. начисление баллов от заказа в начисляются сразу после подтверждения получения заказа а у только через 24 часа. еду заказов не выкладываю не фоткала не все рестораны имеют красивые контейнеры с логотипами в основном обычные одноразовые на некоторые рестораны я отдельно писала отзывы шинто отзыв старый и ресторан вырос стали пакеты с логотипами контейнеры красивые перейдем к минусам в приложениях и в том и в другом не полное предоставление меню ресторанов во-первых часто нет информации о выходе в граммах продукции а во-вторых не весь ассортимент приходилось дополнительно заходить на сайт заказчика и смотреть полную информацию балльная система рулит и приходилось делать дозаказ после звонка оператора на подтверждение заказа если заказывать с сайта ресторана ни скидок ни баллов вот как-то так. прилагаю фото чека с очень недорогого ресторана в челябинске отзыв о нем напишу после следующего заказа спасибо за внимание дополнение звёзд конечно снимать не буду а просто дополню на декабрь 2017 zaka-zaka под delivery club сдулась список уменьшился за баллы мало чего есть
28,Сайт Сервис по доставке еды zakazaka.ru,3/02/2020 12:24,4,zakazaka агрегатор служб доставок еды на дом,zakazaka бесплатный сервис по заказу еды из различных ресторанов вашего города. работает пользовалась сайтом без регистрации но теперь все чаще использую мобильное приложение которое доступно в app или google преимущество регистрации в том что вам не нужно будет повторно вбивать свой адрес и телефон. список ваших заказов будет сохранен теперь не нужно будет гадать откуда мы в прошлый раз заказывали вкусные суши или кто нам привозил ту гадскую пиццу. самый большой плюс добровольной регистрации накопление баллов за каждый заказ на эти баллы можно заказывать бесплатно еду из небольшого списка ресторанов но только как дополнение к основному заказу. как только вы указали свое месторасположение или адрес доставки то сразу появляется список ресторанов которые доставляют еду по вашему району практически у всех ресторанов есть свои мобильные приложения но в заказаке есть возможность сравнить цены и отфильтровать места по рейтингу. рейтинг составляется исходя из отзывов пользователей после заказа каждый можете поучаствовать в оценке и рассказать о качестве еды и сервиса можно выставить фильтры по минимальному заказу или предпочтению по кухне. в основном курьеры приезжают вовремя но бывает что опаздывают минут на десять или двадцать от заявленного времени заказы приезжали всегда. поддержки отвечает оперативно и максимально помогает в спорных и конфликтных ситуациях. сервисом пользуюсь уже несколько лет за это время у меня накопилось больше 3000 балов которые трудно потратить и пара прикольных бейджев от заки за заказы. удобный подбор ресторанов можно сразу увидеть где какие акции проходят и где выгоднее заказать. цены на блюда остаются такими же как и при заказе напрямую из ресторана приложение максимально простое и удобное в использовании а вот польза накопленных баллов сомнительная. достоинства недостатки
